SimaPro 7.3;method;Date:;7/18/2011;Time:;2:35 PM
Air;stratosphere + troposphere;Thiourea;000062-56-6;0,179;kg 1,4-DB eq / kg
Water;(unspecified);Thiourea;000062-56-6;0,0695;kg 1,4-DB eq / kg
Water;ocean;Thiourea;000062-56-6;0,0000153;kg 1,4-DB eq / kg
Soil;(unspecified);Thiram;000137-26-8;0,714;kg 1,4-DB eq / kg
Air;(unspecified);Tin;007440-31-5;51,1;kg 1,4-DB eq / kg
Air;low. pop.;Tin;007440-31-5;14,6;kg 1,4-DB eq / kg
Air;low. pop., long-term;Tin;007440-31-5;14,6;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Tin;007440-31-5;14,6;kg 1,4-DB eq / kg
Soil;(unspecified);Tin;007440-31-5;0,0199;kg 1,4-DB eq / kg
Soil;agricultural;Tin;007440-31-5;1,63;kg 1,4-DB eq / kg
Soil;forestry;Tin;007440-31-5;0,0194;kg 1,4-DB eq / kg
Water;(unspecified);Tin, ion;022537-50-4;0,125;kg 1,4-DB eq / kg
Water;ocean;Tin, ion;022537-50-4;0,0535;kg 1,4-DB eq / kg
Soil;(unspecified);Tolclophos-methyl;057018-04-9;3,62;kg 1,4-DB eq / kg
Air;(unspecified);Toluene;000108-88-3;0,82;kg 1,4-DB eq / kg
Air;low. pop.;Toluene;000108-88-3;0,0801;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene;000108-88-3;0,0801;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene;000108-88-3;0,0801;kg 1,4-DB eq / kg
Water;(unspecified);Toluene;000108-88-3;0,0698;kg 1,4-DB eq / kg
Water;ocean;Toluene;000108-88-3;0,00859;kg 1,4-DB eq / kg
Air;(unspecified);Toluene diisocyanate;026471-62-5;13100;kg 1,4-DB eq / kg
Air;low. pop.;Toluene diisocyanate;026471-62-5;2910;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene diisocyanate;026471-62-5;2910;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene diisocyanate;026471-62-5;2910;kg 1,4-DB eq / kg
Water;(unspecified);Toluene diisocyanate;026471-62-5;12300;kg 1,4-DB eq / kg
Water;ocean;Toluene diisocyanate;026471-62-5;435;kg 1,4-DB eq / kg
Air;(unspecified);Toluene, 2-chloro-;000095-49-8;7,11;kg 1,4-DB eq / kg
Air;low. pop.;Toluene, 2-chloro-;000095-49-8;1,51;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene, 2-chloro-;000095-49-8;1,51;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene, 2-chloro-;000095-49-8;1,51;kg 1,4-DB eq / kg
Water;(unspecified);Toluene, 2-chloro-;000095-49-8;1,7;kg 1,4-DB eq / kg
Water;ocean;Toluene, 2-chloro-;000095-49-8;0,261;kg 1,4-DB eq / kg
Air;(unspecified);Toluene, 2,4-diamine;000095-80-7;15,8;kg 1,4-DB eq / kg
Air;low. pop.;Toluene, 2,4-diamine;000095-80-7;42,1;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene, 2,4-diamine;000095-80-7;42,1;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene, 2,4-diamine;000095-80-7;42,1;kg 1,4-DB eq / kg
Air;(unspecified);Toluene, 2,4-dinitro-;000121-14-2;147;kg 1,4-DB eq / kg
Air;low. pop.;Toluene, 2,4-dinitro-;000121-14-2;131;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene, 2,4-dinitro-;000121-14-2;131;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene, 2,4-dinitro-;000121-14-2;131;kg 1,4-DB eq / kg
Water;(unspecified);Toluene, 2,4-dinitro-;000121-14-2;0,549;kg 1,4-DB eq / kg
Water;ocean;Toluene, 2,4-dinitro-;000121-14-2;0,000987;kg 1,4-DB eq / kg
Air;(unspecified);Toluene, 2,4,6-trinitro-;000118-96-7;506;kg 1,4-DB eq / kg
Air;low. pop.;Toluene, 2,4,6-trinitro-;000118-96-7;616;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene, 2,4,6-trinitro-;000118-96-7;616;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene, 2,4,6-trinitro-;000118-96-7;616;kg 1,4-DB eq / kg
Water;(unspecified);Toluene, 2,4,6-trinitro-;000118-96-7;0,0408;kg 1,4-DB eq / kg
Water;ocean;Toluene, 2,4,6-trinitro-;000118-96-7;0,0000146;kg 1,4-DB eq / kg
Air;(unspecified);Toluene, 2,6-dinitro-;000606-20-2;1510;kg 1,4-DB eq / kg
Air;low. pop.;Toluene, 2,6-dinitro-;000606-20-2;1670;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene, 2,6-dinitro-;000606-20-2;1670;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene, 2,6-dinitro-;000606-20-2;1670;kg 1,4-DB eq / kg
Water;(unspecified);Toluene, 2,6-dinitro-;000606-20-2;2,69;kg 1,4-DB eq / kg
Water;ocean;Toluene, 2,6-dinitro-;000606-20-2;0,00329;kg 1,4-DB eq / kg
Air;(unspecified);Toluene, dinitro-;025321-14-6;28,9;kg 1,4-DB eq / kg
Air;low. pop.;Toluene, dinitro-;025321-14-6;13,5;kg 1,4-DB eq / kg
Air;low. pop., long-term;Toluene, dinitro-;025321-14-6;13,5;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Toluene, dinitro-;025321-14-6;13,5;kg 1,4-DB eq / kg
Water;(unspecified);Toluene, dinitro-;025321-14-6;5,49;kg 1,4-DB eq / kg
Water;ocean;Toluene, dinitro-;025321-14-6;0,087;kg 1,4-DB eq / kg
Soil;(unspecified);Tralomethrin;066841-25-6;12,9;kg 1,4-DB eq / kg
Soil;(unspecified);Triadimefon;043121-43-3;1,26;kg 1,4-DB eq / kg
Soil;(unspecified);Triadimenol;055219-65-3;0,369;kg 1,4-DB eq / kg
Soil;(unspecified);Triallate;002303-17-5;2,74;kg 1,4-DB eq / kg
Soil;(unspecified);Triasulfuron;082097-50-5;4,39;kg 1,4-DB eq / kg
Soil;(unspecified);Triazofos;024017-47-8;335;kg 1,4-DB eq / kg
Water;(unspecified);Tribufos;000078-48-8;1880;kg 1,4-DB eq / kg
Water;ocean;Tribufos;000078-48-8;93,4;kg 1,4-DB eq / kg
Water;(unspecified);Tributyltin compounds;;345;kg 1,4-DB eq / kg
Water;groundwater;Tributyltin compounds;;345;kg 1,4-DB eq / kg
Water;groundwater, long-term;Tributyltin compounds;;345;kg 1,4-DB eq / kg
Water;lake;Tributyltin compounds;;345;kg 1,4-DB eq / kg
Water;ocean;Tributyltin compounds;;4;kg 1,4-DB eq / kg
Water;fossilwater;Tributyltin compounds;;345;kg 1,4-DB eq / kg
Soil;(unspecified);Trichlorfon;000052-68-6;0,162;kg 1,4-DB eq / kg
Air;(unspecified);Triethyl amine;000121-44-8;0,788;kg 1,4-DB eq / kg
Air;low. pop.;Triethyl amine;000121-44-8;0,0154;kg 1,4-DB eq / kg
Air;low. pop., long-term;Triethyl amine;000121-44-8;0,0154;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Triethyl amine;000121-44-8;0,0154;kg 1,4-DB eq / kg
Soil;(unspecified);Trifluralin;001582-09-8;8,44;kg 1,4-DB eq / kg
Soil;(unspecified);Triforine;026644-46-2;5,75;kg 1,4-DB eq / kg
Air;(unspecified);Vanadium;007440-62-2;3490;kg 1,4-DB eq / kg
Air;low. pop.;Vanadium;007440-62-2;1070;kg 1,4-DB eq / kg
Air;low. pop., long-term;Vanadium;007440-62-2;1070;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Vanadium;007440-62-2;1070;kg 1,4-DB eq / kg
Soil;(unspecified);Vanadium;007440-62-2;43,5;kg 1,4-DB eq / kg
Soil;agricultural;Vanadium;007440-62-2;48,2;kg 1,4-DB eq / kg
Soil;forestry;Vanadium;007440-62-2;23,4;kg 1,4-DB eq / kg
Water;(unspecified);Vanadium, ion;022541-77-1;372;kg 1,4-DB eq / kg
Water;ocean;Vanadium, ion;022541-77-1;27,5;kg 1,4-DB eq / kg
Soil;(unspecified);Vinclozolin;050471-44-8;2,7;kg 1,4-DB eq / kg
Air;(unspecified);Vinyl acetate;000108-05-4;3,41;kg 1,4-DB eq / kg
Air;low. pop.;Vinyl acetate;000108-05-4;0,126;kg 1,4-DB eq / kg
Air;low. pop., long-term;Vinyl acetate;000108-05-4;0,126;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Vinyl acetate;000108-05-4;0,126;kg 1,4-DB eq / kg
Air;(unspecified);Xylene;001330-20-7;1,03;kg 1,4-DB eq / kg
Air;low. pop.;Xylene;001330-20-7;0,0578;kg 1,4-DB eq / kg
Air;low. pop., long-term;Xylene;001330-20-7;0,0578;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Xylene;001330-20-7;0,0578;kg 1,4-DB eq / kg
Water;(unspecified);Xylene;001330-20-7;0,0751;kg 1,4-DB eq / kg
Water;ocean;Xylene;001330-20-7;0,015;kg 1,4-DB eq / kg
Air;(unspecified);Zinc;007440-66-6;507;kg 1,4-DB eq / kg
Air;low. pop.;Zinc;007440-66-6;713;kg 1,4-DB eq / kg
Air;low. pop., long-term;Zinc;007440-66-6;713;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Zinc;007440-66-6;713;kg 1,4-DB eq / kg
Soil;(unspecified);Zinc;007440-66-6;6,63;kg 1,4-DB eq / kg
Soil;agricultural;Zinc;007440-66-6;441;kg 1,4-DB eq / kg
Soil;forestry;Zinc;007440-66-6;5,57;kg 1,4-DB eq / kg
Water;(unspecified);Zinc, ion;023713-49-7;36,2;kg 1,4-DB eq / kg
Water;ocean;Zinc, ion;023713-49-7;12,6;kg 1,4-DB eq / kg
Soil;(unspecified);Zineb;012122-67-7;0,142;kg 1,4-DB eq / kg

Impact category;Photochemical oxidant formation;kg NMVOC;;;
Air;(unspecified);1-Butanol;000071-36-3;1,05;kg NMVOC / kg
Air;(unspecified);1-Butene;000106-98-9;1,82;kg NMVOC / kg
Air;(unspecified);1-Butene, 2-methyl-;000563-46-2;1,3;kg NMVOC / kg
Air;(unspecified);1-Butene, 3-methyl-;000563-45-1;1,13;kg NMVOC / kg
Air;(unspecified);1-Hexene;000592-41-6;1,48;kg NMVOC / kg
Air;(unspecified);1-Pentene;000109-67-1;1,65;kg NMVOC / kg
Air;(unspecified);1-Propanol;000071-23-8;0,948;kg NMVOC / kg
Air;(unspecified);2-Butanol;000078-92-2;0,676;kg NMVOC / kg
Air;(unspecified);2-Butanone, 3-methyl-;000563-80-4;0,615;kg NMVOC / kg
Air;(unspecified);2-Butanone, 3,3-dimethyl-;000075-97-8;0,546;kg NMVOC / kg
Air;(unspecified);2-Butene (cis);000590-18-1;1,94;kg NMVOC / kg
Air;(unspecified);2-Butene (trans);000624-64-6;1,91;kg NMVOC / kg
Air;(unspecified);2-Butene, 2-methyl-;000513-35-9;1,42;kg NMVOC / kg
Air;(unspecified);2-Hexanone;000591-78-6;0,966;kg NMVOC / kg
Air;(unspecified);2-Hexene (cis);007688-21-3;1,81;kg NMVOC / kg
Air;(unspecified);2-Hexene (trans);004050-45-7;1,81;kg NMVOC / kg
Air;(unspecified);2-Methyl-1-propanol;000078-83-1;0,608;kg NMVOC / kg
Air;(unspecified);2-Pentanone;000107-87-9;0,926;kg NMVOC / kg
Air;(unspecified);2-Pentene (cis);000627-20-3;1,89;kg NMVOC / kg
Air;(unspecified);2-Pentene (trans);000646-04-8;1,89;kg NMVOC / kg
Air;(unspecified);2-Propanol;000067-63-0;0,318;kg NMVOC / kg
Air;(unspecified);3-Hexanone;000589-38-8;1,01;kg NMVOC / kg
Air;(unspecified);3-Pentanol;000584-02-1;1,01;kg NMVOC / kg
Air;(unspecified);4-Methyl-2-pentanone;000108-10-1;0,828;kg NMVOC / kg
Air;(unspecified);Acetaldehyde;000075-07-0;1,08;kg NMVOC / kg
Air;(unspecified);Acetic acid;000064-19-7;0,164;kg NMVOC / kg
Air;(unspecified);Acetone;000067-64-1;0,159;kg NMVOC / kg
Air;(unspecified);Alcohol, diacetone;000123-42-2;0,519;kg NMVOC / kg
Air;(unspecified);Aldehydes, unspecified;;0,927;kg NMVOC / kg
Air;(unspecified);Benzaldehyde;000100-52-7;-0,155;kg NMVOC / kg
Air;(unspecified);Benzene;000071-43-2;0,368;kg NMVOC / kg
Air;(unspecified);Benzene, 1-propyl-;000103-65-1;1,07;kg NMVOC / kg
Air;(unspecified);Benzene, 1,2,3-trimethyl-;000526-73-8;2,14;kg NMVOC / kg
Air;(unspecified);Benzene, 1,2,4-trimethyl-;000095-63-6;2,16;kg NMVOC / kg
Air;(unspecified);Benzene, 1,3,5-trimethyl-;000108-67-8;2,33;kg NMVOC / kg
Air;(unspecified);Benzene, 3,5-dimethylethyl-;000934-74-7;2,23;kg NMVOC / kg
Air;(unspecified);Benzene, ethyl-;000100-41-4;1,23;kg NMVOC / kg
Air;(unspecified);Butadiene;000106-99-0;1,44;kg NMVOC / kg
Air;(unspecified);Butanal;000123-72-8;1,34;kg NMVOC / kg
Air;(unspecified);Butane;000106-97-8;0,595;kg NMVOC / kg
Air;(unspecified);Butane, 2,2-dimethyl-;000075-83-2;0,407;kg NMVOC / kg
Air;(unspecified);Butane, 2,3-dimethyl-;000079-29-8;0,914;kg NMVOC / kg
Air;(unspecified);Butanol, 2-methyl-1-;000137-32-6;0,826;kg NMVOC / kg
Air;(unspecified);Butanol, 2-methyl-2-;000075-85-4;0,385;kg NMVOC / kg
Air;(unspecified);Butanol, 3-methyl-1-;000123-51-3;0,731;kg NMVOC / kg
Air;(unspecified);Butanol, 3-methyl-2-;000598-75-4;0,686;kg NMVOC / kg
Air;(unspecified);Butyl acetate;000123-86-4;0,454;kg NMVOC / kg
Air;(unspecified);Carbon monoxide, biogenic;000630-08-0;0,0456;kg NMVOC / kg
Air;(unspecified);Carbon monoxide, fossil;000630-08-0;0,0456;kg NMVOC / kg
Air;(unspecified);Chloroform;000067-66-3;0,0389;kg NMVOC / kg
Air;(unspecified);Cumene;000098-82-8;0,845;kg NMVOC / kg
Air;(unspecified);Cyclohexane;000110-82-7;0,49;kg NMVOC / kg
Air;(unspecified);Cyclohexanol;000108-93-0;0,875;kg NMVOC / kg
Air;(unspecified);Cyclohexanone;000108-94-1;0,505;kg NMVOC / kg
Air;(unspecified);Decane;000124-18-5;0,649;kg NMVOC / kg
Air;(unspecified);Diethyl ether;000060-29-7;0,752;kg NMVOC / kg
Air;(unspecified);Diethyl ketone;000096-22-0;0,699;kg NMVOC / kg
Air;(unspecified);Diisopropyl ether;000108-20-3;0,672;kg NMVOC / kg
Air;(unspecified);Dimethyl carbonate;000616-38-6;0,0422;kg NMVOC / kg
Air;(unspecified);Dimethyl ether;000115-10-6;0,319;kg NMVOC / kg
Air;(unspecified);Dodecane;000112-40-3;0,603;kg NMVOC / kg
Air;(unspecified);Ethane;000074-84-0;0,208;kg NMVOC / kg
Air;(unspecified);Ethane, 1,1,1-trichloro-, HCFC-140;000071-55-6;0,0152;kg NMVOC / kg
Air;(unspecified);Ethanol;000064-17-5;0,674;kg NMVOC / kg
Air;(unspecified);Ethanol, 2-butoxy-;000111-76-2;0,816;kg NMVOC / kg
Air;(unspecified);Ethanol, 2-ethoxy-;000110-80-5;0,652;kg NMVOC / kg
Air;(unspecified);Ethanol, 2-methoxy-;000109-86-4;0,519;kg NMVOC / kg
Air;(unspecified);Ethene;000074-85-1;1,69;kg NMVOC / kg
Air;(unspecified);Ethene, dichloro- (cis);000156-59-2;0,755;kg NMVOC / kg
Air;(unspecified);Ethene, dichloro- (trans);000156-60-5;0,662;kg NMVOC / kg
Air;(unspecified);Ethene, tetrachloro-;000127-18-4;0,049;kg NMVOC / kg
Air;(unspecified);Ethene, trichloro-;000079-01-6;0,549;kg NMVOC / kg
Air;(unspecified);Ethyl acetate;000141-78-6;0,353;kg NMVOC / kg
Air;(unspecified);Ethylene glycol;000107-21-1;0,63;kg NMVOC / kg
Air;(unspecified);Ethyne;000074-86-2;0,144;kg NMVOC / kg
Air;(unspecified);Formaldehyde;000050-00-0;0,877;kg NMVOC / kg
Air;(unspecified);Formic acid;000064-18-6;0,0541;kg NMVOC / kg
Air;(unspecified);Heptane;000142-82-5;0,834;kg NMVOC / kg
Air;(unspecified);Hexane;000110-54-3;0,814;kg NMVOC / kg
Air;(unspecified);Hexane, 2-methyl-;000591-76-4;0,694;kg NMVOC / kg
Air;(unspecified);Hexane, 3-methyl-;000589-34-4;0,615;kg NMVOC / kg
Air;(unspecified);Hydrocarbons, aliphatic, alkanes, cyclic;;0,476;kg NMVOC / kg
Air;(unspecified);Hydrocarbons, aromatic;;0,397;kg NMVOC / kg
Air;(unspecified);Hydrocarbons, chlorinated;;0,125;kg NMVOC / kg
Air;(unspecified);Isobutane;000075-28-5;0,519;kg NMVOC / kg
Air;(unspecified);Isobutene;000115-11-7;1,06;kg NMVOC / kg
Air;(unspecified);Isobutyraldehyde;000078-84-2;0,868;kg NMVOC / kg
Air;(unspecified);Isopentane;000078-78-4;0,684;kg NMVOC / kg
Air;(unspecified);Isoprene;000078-79-5;1,84;kg NMVOC / kg
Air;(unspecified);Isopropyl acetate;000108-21-4;0,356;kg NMVOC / kg
Air;(unspecified);m-Xylene;000108-38-3;1,87;kg NMVOC / kg
Air;(unspecified);Methane, biogenic;000074-82-8;0,0101;kg NMVOC / kg
Air;(unspecified);Methane, dichloro-, HCC-30;000075-09-2;0,115;kg NMVOC / kg
Air;(unspecified);Methane, dimethoxy-;000109-87-5;0,277;kg NMVOC / kg
Air;(unspecified);Methane, fossil;000074-82-8;0,0101;kg NMVOC / kg
Air;(unspecified);Methane, monochloro-, R-40;000074-87-3;0,00845;kg NMVOC / kg
Air;(unspecified);Methanol;000067-56-1;0,236;kg NMVOC / kg
Air;(unspecified);Methyl acetate;000079-20-9;0,0997;kg NMVOC / kg
Air;(unspecified);Methyl ethyl ketone;000078-93-3;0,63;kg NMVOC / kg
Air;(unspecified);Methyl formate;000107-31-3;0,0456;kg NMVOC / kg
Air;(unspecified);Nitrogen dioxide;010102-44-0;1;kg NMVOC / kg
Air;(unspecified);Nitrogen oxides;011104-93-1;1;kg NMVOC / kg
Air;(unspecified);NMVOC, non-methane volatile organic compounds, unspecified origin;;1;kg NMVOC / kg
Air;(unspecified);Nonane;000111-84-2;0,699;kg NMVOC / kg
Air;(unspecified);o-Xylene;000095-47-6;1,78;kg NMVOC / kg
Air;(unspecified);Octane;000111-65-9;0,765;kg NMVOC / kg
Air;(unspecified);p-Xylene;000106-42-3;1,71;kg NMVOC / kg
Air;(unspecified);Pentanal;000110-62-3;1,29;kg NMVOC / kg
Air;(unspecified);Pentane;000109-66-0;0,667;kg NMVOC / kg
Air;(unspecified);Pentane, 2-methyl-;000107-83-5;0,709;kg NMVOC / kg
Air;(unspecified);Pentane, 3-methyl-;000096-14-0;0,809;kg NMVOC / kg
Air;(unspecified);Propanal;000123-38-6;1,35;kg NMVOC / kg
Air;(unspecified);Propane;000074-98-6;0,297;kg NMVOC / kg
Air;(unspecified);Propane, 2,2-dimethyl-;000463-82-1;0,292;kg NMVOC / kg
Air;(unspecified);Propene;000115-07-1;1,9;kg NMVOC / kg
Air;(unspecified);Propionic acid;000079-09-4;0,253;kg NMVOC / kg
Air;(unspecified);Propyl acetate;000109-60-4;0,476;kg NMVOC / kg
Air;(unspecified);Propylene glycol;000057-55-6;0,772;kg NMVOC / kg
Air;(unspecified);Propylene glycol methyl ether;000107-98-2;0,6;kg NMVOC / kg
Air;(unspecified);Propylene glycol t-butyl ether;057018-52-7;0,782;kg NMVOC / kg
Air;(unspecified);s-Butyl acetate;000105-46-4;0,465;kg NMVOC / kg
Air;(unspecified);Styrene;000100-42-5;0,24;kg NMVOC / kg
Air;(unspecified);Sulfur dioxide;007446-09-5;0,0811;kg NMVOC / kg
Air;(unspecified);Sulfur oxides;;0,0811;kg NMVOC / kg
Air;(unspecified);t-Butyl acetate;000540-88-5;0,0895;kg NMVOC / kg
Air;(unspecified);t-Butyl alcohol;000075-65-0;0,179;kg NMVOC / kg
Air;(unspecified);t-Butyl ethyl ether;000637-92-3;0,412;kg NMVOC / kg
Air;(unspecified);t-Butyl methyl ether;001634-04-4;0,296;kg NMVOC / kg
Air;(unspecified);Toluene;000108-88-3;1,08;kg NMVOC / kg
Air;(unspecified);Toluene, 2-ethyl-;000611-14-3;1,52;kg NMVOC / kg
Air;(unspecified);Toluene, 3-ethyl-;000620-14-4;1,72;kg NMVOC / kg
Air;(unspecified);Toluene, 3,5-diethyl-;002050-24-0;2,19;kg NMVOC / kg
Air;(unspecified);Toluene, 4-ethyl-;000622-96-8;1,53;kg NMVOC / kg
Air;(unspecified);Undecane;001120-21-4;0,649;kg NMVOC / kg

Impact category;Particulate matter formation;kg PM10 eq;;;
Air;(unspecified);Ammonia;007664-41-7;0,32;kg PM10 eq / kg
Air;(unspecified);Nitrogen dioxide;010102-44-0;0,22;kg PM10 eq / kg
Air;(unspecified);Nitrogen oxides;011104-93-1;0,22;kg PM10 eq / kg
Air;(unspecified);Particulates, < 10 um;;1;kg PM10 eq / kg
Air;(unspecified);Particulates, < 10 um (mobile);;1;kg PM10 eq / kg
Air;(unspecified);Particulates, < 10 um (stationary);;1;kg PM10 eq / kg
Air;(unspecified);Particulates, < 2.5 um;;1;kg PM10 eq / kg
Air;(unspecified);Particulates, > 2.5 um, and < 10um;;1;kg PM10 eq / kg
Air;(unspecified);Sulfur dioxide;007446-09-5;0,2;kg PM10 eq / kg
Air;(unspecified);Sulfur oxides;;0,2;kg PM10 eq / kg

Impact category;Ionising radiation;kg U235 eq;;;
Air;(unspecified);Actinides, radioactive, unspecified;;2,51;kg U235 eq / kBq
Water;ocean;Americium-241;014596-10-2;1,5;kg U235 eq / kBq
Water;(unspecified);Antimony-124;014683-10-4;0,0386;kg U235 eq / kBq
Water;ocean;Antimony-125;014234-35-6;0,0007;kg U235 eq / kBq
Air;(unspecified);Carbon-14;014762-75-5;10;kg U235 eq / kBq
Water;ocean;Carbon-14;014762-75-5;0,0557;kg U235 eq / kBq
Air;(unspecified);Cesium-134;013967-70-9;0,564;kg U235 eq / kBq
Water;(unspecified);Cesium-134;013967-70-9;6,79;kg U235 eq / kBq
Water;ocean;Cesium-134;013967-70-9;0,00371;kg U235 eq / kBq
Air;(unspecified);Cesium-137;010045-97-3;0,636;kg U235 eq / kBq
Water;(unspecified);Cesium-137;010045-97-3;7,86;kg U235 eq / kBq
Water;ocean;Cesium-137;010045-97-3;0,00371;kg U235 eq / kBq
Air;(unspecified);Cobalt-58;013981-38-9;0,02;kg U235 eq / kBq
Water;(unspecified);Cobalt-58;013981-38-9;0,00193;kg U235 eq / kBq
Air;(unspecified);Cobalt-60;010198-40-0;0,786;kg U235 eq / kBq
Water;(unspecified);Cobalt-60;010198-40-0;2,07;kg U235 eq / kBq
Water;ocean;Cobalt-60;010198-40-0;0,0186;kg U235 eq / kBq
Water;ocean;Curium alpha;007440-51-9;2,71;kg U235 eq / kBq
Air;(unspecified);Hydrogen-3, Tritium;010028-17-8;0,000679;kg U235 eq / kBq
Water;(unspecified);Hydrogen-3, Tritium;010028-17-8;0,0000214;kg U235 eq / kBq
Water;ocean;Hydrogen-3, Tritium;010028-17-8;0,00000329;kg U235 eq / kBq
Air;(unspecified);Iodine-129;015046-84-1;44,3;kg U235 eq / kBq
Water;(unspecified);Iodine-129;015046-84-1;4,71;kg U235 eq / kBq
Air;(unspecified);Iodine-131;010043-66-0;0,00714;kg U235 eq / kBq
Water;(unspecified);Iodine-131;010043-66-0;0,0236;kg U235 eq / kBq
Air;(unspecified);Iodine-133;014834-67-4;0,000443;kg U235 eq / kBq
Air;(unspecified);Krypton-85;013983-27-2;0,00000664;kg U235 eq / kBq
Air;(unspecified);Lead-210;014255-04-0;0,0714;kg U235 eq / kBq
Water;(unspecified);Manganese-54;013966-31-9;0,015;kg U235 eq / kBq
Air;(unspecified);Noble gases, radioactive, unspecified;;6,18E-09;kg U235 eq / kBq
Air;(unspecified);Plutonium-238;013981-16-3;3,14;kg U235 eq / kBq
Air;(unspecified);Plutonium-alpha;007440-07-5;3,93;kg U235 eq / kBq
Water;ocean;Plutonium-alpha;007440-07-5;0,35;kg U235 eq / kBq
Air;(unspecified);Polonium-210;013981-52-7;0,0714;kg U235 eq / kBq
Air;(unspecified);Radium-226;013982-63-3;0,0429;kg U235 eq / kBq
Water;(unspecified);Radium-226;013982-63-3;0,00607;kg U235 eq / kBq
Air;(unspecified);Radon-222;014859-67-7;0,00114;kg U235 eq / kBq
Water;ocean;Ruthenium-106;013967-48-1;0,00679;kg U235 eq / kBq
Water;(unspecified);Silver-110;014391-76-5;0,0236;kg U235 eq / kBq
Water;ocean;Strontium-90;010098-97-2;0,000193;kg U235 eq / kBq
Air;(unspecified);Thorium-230;014269-63-7;2,14;kg U235 eq / kBq
Air;(unspecified);Uranium;007440-61-1;0,386;kg U235 eq / kg
Air;(unspecified);Uranium-234;013966-29-5;4,57;kg U235 eq / kBq
Water;(unspecified);Uranium-234;013966-29-5;0,114;kg U235 eq / kBq
Water;ocean;Uranium-234;013966-29-5;0,00107;kg U235 eq / kBq
Air;(unspecified);Uranium-235;015117-96-1;1;kg U235 eq / kBq
Water;(unspecified);Uranium-235;015117-96-1;0,107;kg U235 eq / kBq
Water;ocean;Uranium-235;015117-96-1;0,00114;kg U235 eq / kBq
Air;(unspecified);Uranium-238;007440-61-1;0,386;kg U235 eq / kBq
Water;(unspecified);Uranium-238;007440-61-1;0,107;kg U235 eq / kBq
Water;ocean;Uranium-238;007440-61-1;0,00107;kg U235 eq / kBq
Air;(unspecified);Uranium alpha;007440-61-1;0,386;kg U235 eq / kBq
Water;(unspecified);Uranium alpha;007440-61-1;0,107;kg U235 eq / kBq
Water;ocean;Uranium alpha;007440-61-1;0,00107;kg U235 eq / kBq
Air;(unspecified);Xenon-133;014932-42-4;0,00000671;kg U235 eq / kBq

Impact category;Terrestrial acidification;kg SO2 eq;;;
Air;(unspecified);Ammonia;007664-41-7;2,45;kg SO2 eq / kg
Air;(unspecified);Nitrogen dioxide;010102-44-0;0,56;kg SO2 eq / kg
Air;(unspecified);Nitrogen oxides;011104-93-1;0,56;kg SO2 eq / kg
Air;(unspecified);Sulfur dioxide;007446-09-5;1;kg SO2 eq / kg
Air;(unspecified);Sulfur oxides;;1;kg SO2 eq / kg

Impact category;Freshwater eutrophication;kg P eq;;;
Soil;(unspecified);Fertiliser, applied (P component);;0,053;kg P eq / kg
Soil;(unspecified);Manure, applied (P component);;0,05;kg P eq / kg
Water;(unspecified);Phosphate;014265-44-2;0,33;kg P eq / kg
Soil;(unspecified);Phosphate;014265-44-2;0,33;kg P eq / kg
Water;(unspecified);Phosphoric acid;007664-38-2;0,32;kg P eq / kg
Soil;(unspecified);Phosphoric acid;007664-38-2;0,32;kg P eq / kg
Water;(unspecified);Phosphorus;007723-14-0;1;kg P eq / kg
Soil;(unspecified);Phosphorus;007723-14-0;1;kg P eq / kg
Water;(unspecified);Phosphorus pentoxide;001314-56-3;0,44;kg P eq / kg
Soil;(unspecified);Phosphorus pentoxide;001314-56-3;0,44;kg P eq / kg
Water;(unspecified);Phosphorus, total;;1;kg P eq / kg
Soil;(unspecified);Phosphorus, total;;1;kg P eq / kg

Impact category;Marine eutrophication;kg N eq;;;
Air;(unspecified);Ammonia;007664-41-7;0,092;kg N eq / kg
Water;(unspecified);Ammonia;007664-41-7;0,824;kg N eq / kg
Water;(unspecified);Ammonia, as N;007664-41-7;1;kg N eq / kg
Air;(unspecified);Ammonium, ion;014798-03-9;0,087;kg N eq / kg
